index,market,amount_quote,open_long,open_short,max_amount_quote,max_amount_quote_safe,take_profit_long,take_profit_short,stop_loss_long,stop_loss_short,trailing_stop_loss_long,trailing_stop_loss_short,post_pyramid_scale,post_pyramid_raise_quote,max_volatility,annualized_net_return_percent,average_additional_trades,average_invested_timeframe,average_loss_per_trade,average_loss_percent,average_loss_series,average_loss_timeframe,average_profit_per_trade,average_profit_percent,average_profit_series,average_profit_timeframe,average_timeframe_not_invested,average_trade_size,average_trades_per_month,longest_loss_series,longest_profit_series,max_additional_trades,max_draw_down,max_invested_timeframe,max_loss,max_loss_percent,max_loss_timeframe,max_net_return,max_profit,max_profit_percent,max_profit_timeframe,max_timeframe_not_invested,max_trade_size,max_trades_per_month,min_additional_trades,min_invested_timeframe,min_loss,min_loss_percent,min_loss_timeframe,min_profit,min_profit_percent,min_profit_timeframe,min_timeframe_not_invested,min_trade_size,min_trades_per_month,profit_loss_ratio_percent,stability,total_additional_trades,total_loss_trades,total_net_return,total_net_return_percent,total_profit_trades,total_time_invested,total_time_loss_trades,total_time_not_invested,total_time_profit_trades,total_trades,total_volume_quote,fitness
41,Kraken-BTC-EUR,100.0,0.06903541172613423,-0.07040953792512847,,100.0,,,,,-0.05,-0.05,,,1.0,-0.7243267768377984,0.6891891891891891,148939.45945945947,-3.6997290984482807,-0.037015891814633765,2.7884615384615383,102701.53846153847,6.824814189556729,0.06817486043117586,1.2727272727272727,258229.0909090909,94235.34246575342,100.0000032391164,10.571428571428571,9,2,9,0.5532383382824512,1706820.0,6.04692082026142,-0.06031239329231891,733920.0,23.006784608629815,23.006784608629815,0.22947129893216875,1706820.0,1051440.0,100.260040535118,40,1,240.0,0.4147238736211136,-0.00413648358162486,240.0,0.2535894685350115,0.002529318041351392,660.0,0.0,99.73995830070079,3,0.4230769230769231,12.91271223234842,51,52,-42.240000949062576,-0.4224000094906258,22,11021520.0,5340480.0,7381680.0,5681040.0,74,7400.000239694613,10.138920221587108
42,Kraken-BTC-EUR,100.0,0.05,-0.08447882308597095,,100.0,,,,,-0.05,-0.05,,,1.0,-1.4596647342353164,0.7066666666666667,142032.0,-4.22386508719023,-0.04225133428781177,2.849056603773585,88961.88679245283,6.306487148887815,0.06301365895150478,1.1818181818181819,269882.7272727273,97900.54054054055,100.00346685768103,10.714285714285714,9,3,9,1.007763735021752,2302140.0,8.160436370056729,-0.08181707677103976,773700.0,19.58468248692239,19.58468248692239,0.19533894561023338,2302140.0,1248780.0,100.26004494244735,43,1,180.0,0.07450755382978969,-0.0007431434473794574,180.0,0.4105721722394833,0.004116425305664595,420.0,0.0,99.73997410689755,2,0.41509433962264153,18.404830516018308,53,53,-85.12213234555028,-0.8512213234555028,22,10652400.0,4714980.0,7750800.0,5937420.0,75,7500.260014326078,10.80521090141337
43,Kraken-BTC-EUR,100.0,0.06150465535661577,-0.07040953792512847,,100.0,,,,,-0.05,-0.05,,,1.0,-0.55269837593297,0.6707317073170732,150597.80487804877,-3.7418611616066406,-0.037433361110137356,2.6964285714285716,101426.78571428571,6.81972861497709,0.06814082803974425,1.3076923076923077,256504.61538461538,68593.33333333333,100.00000275594395,11.714285714285714,9,3,9,0.479717240854755,1707420.0,5.856715646778596,-0.05871981401126641,756360.0,23.94346549595454,23.94346549595454,0.23881373399795455,1707420.0,1051440.0,100.26004075949987,42,1,240.0,0.3176373422490144,-0.0031681364942393814,240.0,0.09485782359553241,0.0009461184684181003,660.0,0.0,99.73995830070079,3,0.4642857142857143,8.480643887787599,55,56,-32.231281060567454,-0.3223128106056745,26,12349020.0,5679900.0,6054180.0,6669120.0,82,8200.000225987404,11.071296502808124
44,Kraken-BTC-EUR,100.0,0.06903541172613423,-0.067410864024775,,100.0,,,,,-0.05,-0.05,,,1.0,-1.0479146197965168,0.7125,141468.0,-3.6515736641846153,-0.036536632457608804,2.7758620689655173,99248.27586206897,6.849129598314128,0.06841065332437152,1.2272727272727273,252774.54545454544,83332.40506329114,99.99999968439407,11.428571428571429,9,2,9,0.7232188656765142,1706820.0,6.04692082026142,-0.06031239329231891,733920.0,23.006784608629815,23.006784608629815,0.22947129893216875,1706820.0,1050180.0,100.260040535118,44,1,240.0,0.4147238736211136,-0.00413648358162486,240.0,0.2535894685350115,0.002529318041351392,660.0,0.0,99.7399575289127,3,0.3793103448275862,18.425188040947575,57,58,-61.11042135979686,-0.6111042135979686,22,11317440.0,5756400.0,7085760.0,5561040.0,80,7999.999974751526,11.11994252890254
45,Kraken-BTC-EUR,100.0,0.06150465535661577,-0.05767345115543644,,100.0,,,,,-0.05069986264703001,-0.05,,,1.0,-0.7310060730463268,0.7021276595744681,144556.59574468085,-3.247157678705829,-0.032480108634334176,2.8208955223880596,102304.4776119403,6.478890822418195,0.06472427344276041,1.2222222222222223,249404.44444444444,46416.77419354839,100.00000167843685,13.428571428571429,8,2,8,0.6726828467918,1707420.0,6.365178008728151,-0.06381770139328907,758760.0,23.94346549595454,23.94346549595454,0.23881373399795455,1707420.0,961020.0,100.26004075949987,50,1,240.0,0.001288995243186264,-1.2856525231290345e-05,240.0,0.09485782359553241,0.0009461184684181003,300.0,0.0,99.73996793368973,3,0.40298507462686567,15.172623623514498,66,67,-42.629512267999345,-0.4262951226799935,27,13588320.0,6854400.0,4814880.0,6733920.0,94,9400.000157773064,12.819017384630904
46,Kraken-BTC-EUR,100.0,0.06150465535661577,-0.05,,100.0,,,,,-0.05,-0.05,,,1.0,-0.22553065625525193,0.6534653465346535,147487.1287128713,-3.043197066635043,-0.030438094561937294,2.5671641791044775,99259.70149253731,5.61006199115749,0.05605362990490188,1.2647058823529411,242523.5294117647,30331.8,99.99742836770753,14.428571428571429,8,2,8,0.4441098528621158,1707420.0,5.814799432218095,-0.05829955383166306,756360.0,23.94346549595454,23.94346549595454,0.23881373399795455,1707420.0,594720.0,100.26004075949987,54,1,360.0,0.001288995243186264,-1.2856525231290345e-05,420.0,0.0307837526260073,0.00030863992150983186,360.0,0.0,99.7399544502381,3,0.5074626865671642,8.405764140862109,66,67,-13.152095765193337,-0.13152095765193336,34,14896200.0,6650400.0,3507000.0,8245800.0,101,10099.74026513846,13.42486944058577
47,Kraken-BTC-EUR,100.0,0.06150465535661577,-0.05,,100.0,,,,,-0.05,-0.05,,,1.0,-0.22553065625525193,0.6534653465346535,147487.1287128713,-3.043197066635043,-0.030438094561937294,2.5671641791044775,99259.70149253731,5.61006199115749,0.05605362990490188,1.2647058823529411,242523.5294117647,30331.8,99.99742836770753,14.428571428571429,8,2,8,0.4441098528621158,1707420.0,5.814799432218095,-0.05829955383166306,756360.0,23.94346549595454,23.94346549595454,0.23881373399795455,1707420.0,594720.0,100.26004075949987,54,1,360.0,0.001288995243186264,-1.2856525231290345e-05,420.0,0.0307837526260073,0.00030863992150983186,360.0,0.0,99.7399544502381,3,0.5074626865671642,8.405764140862109,66,67,-13.152095765193337,-0.13152095765193336,34,14896200.0,6650400.0,3507000.0,8245800.0,101,10099.74026513846,13.42486944058577
48,Kraken-BTC-EUR,100.0,0.06150465535661577,-0.05,,100.0,,,,,-0.05,-0.05,,,1.0,-0.22553065625525193,0.6534653465346535,147487.1287128713,-3.043197066635043,-0.030438094561937294,2.5671641791044775,99259.70149253731,5.61006199115749,0.05605362990490188,1.2647058823529411,242523.5294117647,30331.8,99.99742836770753,14.428571428571429,8,2,8,0.4441098528621158,1707420.0,5.814799432218095,-0.05829955383166306,756360.0,23.94346549595454,23.94346549595454,0.23881373399795455,1707420.0,594720.0,100.26004075949987,54,1,360.0,0.001288995243186264,-1.2856525231290345e-05,420.0,0.0307837526260073,0.00030863992150983186,360.0,0.0,99.7399544502381,3,0.5074626865671642,8.405764140862109,66,67,-13.152095765193337,-0.13152095765193336,34,14896200.0,6650400.0,3507000.0,8245800.0,101,10099.74026513846,13.42486944058577
49,Kraken-BTC-EUR,100.0,0.05,-0.05069986264703001,,100.0,,,,,-0.05069986264703001,-0.05,,,1.0,-0.8152093737580018,0.664,143434.56,-3.4283881465198944,-0.03428507422374784,2.369047619047619,99931.42857142857,5.864504236145066,0.05860451427817447,1.2195121951219512,232562.92682926828,0.0,99.99791905085347,17.857142857142858,7,3,7,0.7783080174920614,2302140.0,6.6624096996699365,-0.06645132643359503,776100.0,25.273324234701292,25.273324234701292,0.252077876278456,2302140.0,0.0,100.26004494244735,73,1,240.0,0.06249140760701266,-0.0006265429912043108,240.0,0.0307837526260073,0.00030863992150983186,360.0,0.0,99.7399544502381,3,0.4880952380952381,18.174068092977937,83,84,-47.539930625723315,-0.47539930625723315,41,17929320.0,8394240.0,473880.0,9535080.0,125,12499.739881356683,16.914525579048597
