index,market,baseline_trade_size,open_long,open_short,reserved_account_size,take_profit_long,take_profit_short,stop_loss_long,stop_loss_short,trailing_stop_loss_long,trailing_stop_loss_short,post_pyramid_scale,post_pyramid_raise_quote,account_size_threshold,max_volatility,annualized_net_return_percent,average_additional_trades,average_invested_timeframe,average_loss_per_trade,average_loss_percent,average_loss_series,average_loss_timeframe,average_profit_per_trade,average_profit_percent,average_profit_series,average_profit_timeframe,average_timeframe_not_invested,average_trade_size,average_trades_per_month,longest_loss_series,longest_profit_series,max_additional_trades,max_draw_down,max_invested_timeframe,max_loss,max_loss_percent,max_loss_timeframe,max_net_return,max_profit,max_profit_percent,max_profit_timeframe,max_timeframe_not_invested,max_trade_size,max_trades_per_month,min_additional_trades,min_invested_timeframe,min_loss,min_loss_percent,min_loss_timeframe,min_profit,min_profit_percent,min_profit_timeframe,min_timeframe_not_invested,min_trade_size,min_trades_per_month,profit_loss_ratio_percent,stability,total_additional_trades,total_loss_trades,total_net_return,total_net_return_percent,total_profit_trades,total_time_invested,total_time_loss_trades,total_time_not_invested,total_time_profit_trades,total_trades,total_volume_quote,fitness
0,Kraken-BTC-EUR,100.0,0.11846563609047225,-0.19789054782119225,,,,,,-0.19789054782119225,0.030001370047523956,,,,1.0,-0.1145165831520648,0.0,1142400.0,-8.992541219272734,-0.06277744220019335,5.5,924840.0,41.12262514524008,0.4084479747443827,1.5,2230200.0,316800.0,130.95684506141507,2.4,10,2,0,0.49343075909740036,4456800.0,34.98819759914298,-0.19193471455554093,3150000.0,81.47572713008816,81.47572713008816,0.8126445325015406,4456800.0,2664000.0,182.71911186279,4,0,3600.0,0.20880608718678673,-0.001668356230510405,3600.0,0.7695231603919979,0.004251416987224852,3600.0,0.0,92.3108722080776,2,0.2,44.52839158459896,0,10,-7.6801619022471925,-0.07680161902247193,2,13708800.0,9248400.0,7455600.0,4460400.0,12,1571.482140736981,-56.264992800836986
1,Kraken-BTC-EUR,100.0,0.11552992664638405,-0.16452469484397111,,,,,,-0.16452469484397111,-0.11552992664638405,,,,1.0,-0.591152689622088,0.8571428571428571,1262314.2857142857,-10.588874749155003,-0.09347722935743967,6.5,1037100.0,43.710144101316885,0.46109288808415866,1.0,2613600.0,0.0,99.51500528269511,2.3333333333333335,12,1,12,0.7001845315587264,4456800.0,25.278489517716395,-0.19193471455554087,3330000.0,81.47572713008816,81.47572713008816,0.8126445325015406,4456800.0,0.0,181.00392473952797,6,12,68400.0,0.8890640972640043,-0.015227147429726962,68400.0,5.944561072545611,0.10954124366677676,770400.0,0.0,54.2677887666576,1,0.16666666666666666,41.57011052545433,12,12,-39.64620878722627,-0.3964620878722627,2,17672400.0,12445200.0,3492000.0,5227200.0,14,1393.2100739577315,-53.06838811233908
2,Kraken-BTC-EUR,100.0,0.06947647357803761,-0.12366121590105758,,,,,,-0.12366121590105758,0.04740072392997846,,,,1.0,-0.15445873364228482,0.5,562242.8571428572,-6.021744004499287,-0.045246383294921866,1.8823529411764706,473929.4117647059,8.364611676624493,0.07136628289543914,1.4545454545454546,698727.2727272727,145200.0,124.80494151794137,3.5,4,3,4,0.49449738989432557,2052000.0,23.65120889467704,-0.14418456557856166,1976400.0,47.56229023842741,47.56229023842741,0.3671418860069823,2052000.0,1216800.0,177.79164482177998,10,1,3600.0,0.48810323502719655,-0.00476030089178411,3600.0,0.16998807468159782,0.001434132978197623,3600.0,0.0,90.0193045004966,2,0.6470588235294118,30.18637082709976,14,17,-10.358919633618441,-0.10358919633618441,11,15742800.0,8056800.0,5421600.0,7686000.0,28,3494.5383625023583,-32.25771120353734
3,Kraken-BTC-EUR,100.0,0.08631336158121841,-0.08536281258615641,,,,,,-0.08536281258615641,-0.08631336158121841,,,,1.0,-0.23810557327280538,0.59375,619762.5,-5.770967547159539,-0.058153709070475526,3.0952380952380953,498514.28571428574,9.565595019593559,0.11020010818728024,1.3636363636363635,851236.3636363636,0.0,93.70617924879176,4.0,9,2,9,0.4925391478662785,2620800.0,14.658654850516797,-0.13508491083172464,1414800.0,38.061362050974,38.061362050974,0.41237162186262727,2620800.0,0.0,135.4035192379092,10,1,64800.0,0.06646849773800056,-0.0007862088464731301,79200.0,0.14693152729419978,0.0014556169389682702,64800.0,0.0,68.355650046135,1,0.5238095238095238,23.16633565338292,19,21,-15.96877327482116,-0.1596877327482116,11,19832400.0,10468800.0,1332000.0,9363600.0,32,2998.597735961336,-25.04607610819968
4,Kraken-BTC-EUR,100.0,0.1074087783148614,-0.11849151935145755,,,,,,-0.11849151935145755,-0.03290266414139548,,,,1.0,-0.5530180504227923,0.6153846153846154,574200.0,-6.123508165179905,-0.06006894506492344,2.3684210526315788,548147.3684210526,11.322568806424403,0.11557834192466378,1.1428571428571428,644914.2857142857,182736.0,97.45069181920196,3.25,6,2,6,0.5794519004878502,2044800.0,16.631809118889606,-0.13838906826992356,2044800.0,36.63022111858203,36.63022111858203,0.32342534637510767,1206000.0,1299600.0,149.20471354167003,8,2,10800.0,0.15463208263680173,-0.0024583021980783865,10800.0,1.5610544701760034,0.01873485964489308,86400.0,0.0,62.90198282280959,2,0.3684210526315789,24.3399598224232,16,19,-37.08867349344737,-0.37088673493447366,7,14929200.0,10414800.0,6235200.0,4514400.0,26,2533.717987299251,-21.932287433662683
5,Kraken-BTC-EUR,100.0,0.22919495397074646,-0.06142524081400591,,,,,,-0.02665718865743924,-0.09873123041128673,,,,1.0,0.5579855696806949,0.3333333333333333,478200.0,-7.651366896862243,-0.06842956820010751,1.75,432000.0,8.503411551546575,0.08012846039565143,2.125,501300.0,1038436.3636363636,105.91790095739697,2.0,3,4,3,0.13473364477661645,2624400.0,15.78565874686798,-0.1350849108317245,1296000.0,24.201005255891204,24.201005255891204,0.2143077413907614,2624400.0,5850000.0,116.85730589504702,3,1,7200.0,0.30199089372479193,-0.002985342455517619,86400.0,3.642408844029987,0.03345318729709117,7200.0,14400.0,96.20438654988,1,2.0,10.507923347989568,4,4,37.42182482492363,0.37421824824923633,8,5738400.0,1728000.0,15426000.0,4010400.0,12,1271.0148114887636,-20.682886161616207
6,Kraken-BTC-EUR,100.0,0.1413525261295288,-0.08536281258615641,,,,,,-0.06913690993730451,-0.08631336158121841,,,,1.0,-0.32802437970571047,0.5555555555555556,481066.6666666667,-5.995607633129877,-0.06509020858945015,2.7222222222222223,382400.0,9.546852794728494,0.11828447264918439,1.5555555555555556,678400.0,272907.6923076923,88.17302022629286,3.375,6,3,6,0.46286429259812933,2620800.0,13.408400240684387,-0.13777474205192497,1288800.0,27.896863440139214,27.896863440139214,0.33628312949571276,2620800.0,2124000.0,115.129995086736,6,1,28800.0,1.6661012493145932,-0.016226034195154664,28800.0,2.7166935411280235,0.030509241948461156,57600.0,0.0,61.5196854436842,1,0.5,16.812884399054013,15,18,-21.999262243781338,-0.21999262243781337,9,12988800.0,6883200.0,8175600.0,6105600.0,27,2380.6715461099075,-17.327878183719314
7,Kraken-BTC-EUR,100.0,0.2262846530677452,-0.08632884098915454,,,,,,-0.02665718865743924,-0.09873123041128673,,,,1.0,0.17281290689435677,0.4166666666666667,374700.0,-7.206241356149837,-0.07099471903157895,1.8,173520.0,6.803009461934743,0.07301300234892574,2.0,518400.0,1151672.7272727273,95.70138267207146,2.0,3,4,3,0.2337881816984099,2620800.0,11.490725761684402,-0.10825485755360255,273600.0,18.252308435721602,18.252308435721602,0.1960613773085236,2620800.0,5850000.0,111.0296980058812,3,2,7200.0,0.2987967048767928,-0.0029853424555176264,39600.0,1.7551947241224042,0.018118577655388518,7200.0,18000.0,85.5158239634634,1,1.4,9.401338628100984,5,5,11.589859452794016,0.11589859452794016,7,4496400.0,867600.0,16668000.0,3628800.0,12,1148.4165920648575,-13.935601850284522
8,Kraken-BTC-EUR,100.0,0.1551453461682195,-0.052147409216663915,,,,,,-0.052147409216663915,-0.06461298744206137,,,,1.0,0.17279296589911308,0.5714285714285714,344571.4285714286,-4.913474109728362,-0.051347551135238874,2.5625,164250.0,7.517008987243799,0.08444633233181488,1.4166666666666667,585000.0,356133.3333333333,93.56910603827262,4.0,7,3,7,0.3497978318854684,2044800.0,11.120610073809601,-0.11388999297502851,543600.0,16.044187379283798,16.044187379283798,0.18004650826328378,2044800.0,2761200.0,116.5923483833592,7,1,10800.0,1.3449896101376027,-0.011970876176589677,10800.0,0.7031654511839918,0.008586341829797837,50400.0,0.0,75.15536534513281,2,0.75,10.22286462998342,16,16,11.588522091271798,0.11588522091271798,12,9648000.0,2628000.0,11516400.0,7020000.0,28,2619.9349690716335,-12.389783374625837
9,Kraken-BTC-EUR,100.0,0.1953852421365638,-0.06142524081400591,,,,,,-0.02665718865743924,-0.08762599996653747,,,,1.0,-0.014090574967997526,0.6666666666666666,391400.0,-4.110485684013233,-0.04278754383789499,3.5,287400.0,8.063471766846039,0.09330185310252442,2.0,599400.0,599082.3529411765,90.95026586960441,3.0,6,4,6,0.3640703303175413,2624400.0,11.823845880966402,-0.13508491083172472,1292400.0,17.44432226262881,17.44432226262881,0.21430774139076145,2624400.0,6080400.0,113.7922226933462,5,6,3600.0,0.29645016038401195,-0.0029853424555178185,3600.0,1.215924040163003,0.016715767113297485,7200.0,14400.0,72.74114504716499,1,0.5,13.372203042688758,12,12,-0.9449976070825628,-0.009449976070825627,6,7045200.0,3448800.0,14119200.0,3596400.0,18,1637.1047856528794,-12.116525823131909
