timestamp,id,open_state.next_trade_size,open_state.total_return,open_state.last_low,open_state.last_low_timestamp,open_state.last_high,open_state.last_high_timestamp,close_state.next_trade_size,close_state.total_return,close_state.last_low,close_state.last_low_timestamp,close_state.last_high,close_state.last_high_timestamp,close_state.direction,close_state.open_amount_quote,open_order.market,open_order.type,open_order.amount,open_order.limit_price,open_order.status,open_order.exec_gross_amount_base,open_order.exec_gross_amount_quote,open_order.exec_fees_quote,open_order.finish_timestamp,open_order.exec_gross_price,open_order.exec_net_amount_base,open_order.exec_net_amount_quote,open_order.exec_net_price,open_order.exec_fees_percent,close_order.market,close_order.type,close_order.amount,close_order.limit_price,close_order.status,close_order.exec_gross_amount_base,close_order.exec_gross_amount_quote,close_order.exec_fees_quote,close_order.finish_timestamp,close_order.exec_gross_price,close_order.exec_net_amount_base,close_order.exec_net_amount_quote,close_order.exec_net_price,close_order.exec_fees_percent,size_quote,gross_profit_quote,gross_profit_percent,net_profit_quote,net_profit_percent,open_timestamp,close_timestamp,direction,open_price,close_price,close_trigger
2020-10-29T13:16:11.498400,ea1092a6-19e8-11eb-836a-acde48001122,100.0,0,4702.6,2019-05-01 15:00:00,5498.1,2019-05-09 23:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,buy,0.0181881,6047.9,finished,0.0181881,99.99999260999999,0.25999998078599995,2019-05-09 23:00:00,5498.1,0.0181881,100.259992590786,5512.395060000001,0.0026,Kraken-BTC-EUR,sell,0.0181881,5875.4,finished,0.0181881,118.73555441999999,0.30871244149199994,2019-05-17 04:00:00,6528.2,0.0181881,118.42684197850798,6511.22668,0.0026,100.259992590786,18.735561809999993,0.1868697705421715,18.16684938772198,0.1811973940779199,2019-05-09 23:00:00,2019-05-17 04:00:00,long,5498.1,6528.2,open-short
2020-10-29T13:16:11.517633,ea135c84-19e8-11eb-836a-acde48001122,118.16684938772198,18.16684938772198,5452.6,2019-05-10 01:00:00,7419.1,2019-05-16 01:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,sell,0.01810098,5875.4,finished,0.01810098,118.16681763599999,0.3072337258536,2019-05-17 04:00:00,6528.2,0.01810098,117.85958391014638,6511.22668,0.0026,Kraken-BTC-EUR,buy,0.01810098,7127.1,finished,0.01810098,117.27986961599998,0.30492766100159996,2019-05-17 05:00:00,6479.2,0.01810098,117.58479727700158,6496.04592,0.0026,117.85958391014638,0.8869480200000055,0.007525463696496635,0.27478663314479945,0.002331474658474027,2019-05-17 04:00:00,2019-05-17 05:00:00,short,6528.2,6479.2,trailing-stop-loss
2020-10-29T13:16:11.536503,ea163da0-19e8-11eb-836a-acde48001122,118.44163602086678,18.44163602086678,6322.4,2019-05-17 18:00:00,7683.1,2019-05-26 20:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,buy,0.01541587,8451.4,finished,0.01541587,118.441670797,0.3079483440722,2019-05-26 20:00:00,7683.1,0.01541587,118.7496191410722,7703.07606,0.0026,Kraken-BTC-EUR,sell,0.01541587,6282.7,finished,0.01541587,107.615105296,0.27979927376959995,2019-06-11 20:00:00,6980.8,0.01541587,107.3353060222304,6962.64992,0.0026,118.7496191410722,-10.826565501000005,-0.0911713703109924,-11.414313118841804,-0.09612083980902562,2019-05-26 20:00:00,2019-06-11 20:00:00,long,7683.1,6980.8,open-short
2020-10-29T13:16:11.553436,ea18d312-19e8-11eb-836a-acde48001122,107.02732290202498,7.027322902024977,6980.8,2019-06-11 20:00:00,8022.8,2019-05-30 16:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,sell,0.01533167,6282.7,finished,0.01533167,107.027321936,0.2782710370336,2019-06-11 20:00:00,6980.8,0.01533167,106.7490508989664,6962.64992,0.0026,Kraken-BTC-EUR,buy,0.01533167,7705.5,finished,0.01533167,107.39834835,0.27923570571,2019-06-11 21:00:00,7005.0,0.01533167,107.67758405571,7023.213,0.0026,106.7490508989664,-0.37102641399999925,-0.003475688175917934,-0.9285331567435975,-0.00869828020880875,2019-06-11 20:00:00,2019-06-11 21:00:00,short,6980.8,7005.0,trailing-stop-loss
2020-10-29T13:16:11.561631,ea1a1326-19e8-11eb-836a-acde48001122,106.09878974528138,6.09878974528138,6930.5,2019-06-12 01:00:00,8094.0,2019-06-16 05:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,buy,0.01310833,8903.4,finished,0.01310833,106.09882302,0.275856939852,2019-06-16 05:00:00,8094.0,0.01310833,106.374679959852,8115.044400000001,0.0026,Kraken-BTC-EUR,sell,0.01310833,9207.2,finished,0.01310833,134.100837566,0.34866217767159996,2019-06-27 09:00:00,10230.2,0.01310833,133.7521753883284,10203.60148,0.0026,106.374679959852,28.002014545999998,0.26323947161644606,27.377495428476394,0.25736853392940146,2019-06-16 05:00:00,2019-06-27 09:00:00,long,8094.0,10230.2,open-short
2020-10-29T13:16:11.589942,ea1e650c-19e8-11eb-836a-acde48001122,133.4762851737578,33.47628517375777,7944.4,2019-06-16 20:00:00,12046.5,2019-06-26 20:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,sell,0.01304728,9207.2,finished,0.01304728,133.476283856,0.3470383380256,2019-06-27 09:00:00,10230.2,0.01304728,133.1292455179744,10203.60148,0.0026,Kraken-BTC-EUR,buy,0.01304728,11159.5,finished,0.01304728,132.3646556,0.34414810455999995,2019-06-27 10:00:00,10145.0,0.01304728,132.70880370455998,10171.376999999999,0.0026,133.1292455179744,1.1116282560000172,0.008349992908582444,0.42044181341441345,0.0031581476465112816,2019-06-27 09:00:00,2019-06-27 10:00:00,short,10230.2,10145.0,trailing-stop-loss
2020-10-29T13:16:11.599721,ea1fe2f6-19e8-11eb-836a-acde48001122,133.8967269871722,33.89672698717219,8641.5,2019-07-02 07:00:00,10870.0,2019-06-29 00:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,buy,0.01315525,11196.0,finished,0.01315525,133.89676555000003,0.34813159043,2019-07-03 06:00:00,10178.200000000003,0.01315525,134.24489714043003,10204.663320000001,0.0026,Kraken-BTC-EUR,sell,0.01315525,8594.7,finished,0.01315525,125.62869092500001,0.32663459640500003,2019-07-10 19:00:00,9549.7,0.01315525,125.30205632859501,9524.870780000001,0.0026,134.24489714043003,-8.268074625000011,-0.061589489069003474,-8.942840811835012,-0.06661587145826589,2019-07-03 06:00:00,2019-07-10 19:00:00,long,10178.2,9549.7,open-short
2020-10-29T13:16:11.618145,ea22b2c4-19e8-11eb-836a-acde48001122,124.95388617533717,24.953886175337175,9549.7,2019-07-10 19:00:00,11639.4,2019-07-10 03:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,sell,0.01308459,8594.7,finished,0.01308459,124.95390912300002,0.32488016371980005,2019-07-10 19:00:00,9549.7,0.01308459,124.62902895928022,9524.870780000001,0.0026,Kraken-BTC-EUR,buy,0.01308459,10504.7,finished,0.01308459,124.95390912300002,0.32488016371980005,2019-07-10 20:00:00,9549.7,0.01308459,125.27878928671981,9574.52922,0.0026,124.62902895928022,0.0,0.0,-0.6497603274395942,-0.0052135552436334,2019-07-10 19:00:00,2019-07-10 20:00:00,short,9549.7,9549.7,trailing-stop-loss
2020-10-29T13:16:11.633987,ea251d7a-19e8-11eb-836a-acde48001122,124.30412584789758,24.30412584789758,8169.8,2019-07-17 12:00:00,10783.5,2019-07-12 20:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,buy,0.01286952,10624.7,finished,0.01286952,124.304119776,0.3231907114176,2019-07-20 17:00:00,9658.8,0.01286952,124.62731048741759,9683.912879999998,0.0026,Kraken-BTC-EUR,sell,0.01286952,7737.6,finished,0.01286952,110.643124296,0.2876721231696,2019-07-24 17:00:00,8597.3,0.01286952,110.3554521728304,8574.94702,0.0026000000000000003,124.62731048741759,-13.660995479999997,-0.1096147820776347,-14.271858314587192,-0.11451629870507463,2019-07-20 17:00:00,2019-07-24 17:00:00,long,9658.8,8597.3,open-short
2020-10-29T13:16:11.647530,ea272e8a-19e8-11eb-836a-acde48001122,110.03226753331039,10.032267533310389,8597.3,2019-07-24 17:00:00,9818.0,2019-07-20 23:00:00,94.51783083342457,-5.4821691665754315,5954.4,2019-12-18 07:00:00,6876.9,2019-12-23 02:00:00,short,94.604513436,Kraken-BTC-EUR,sell,0.01279847,7737.6,finished,0.01279847,110.03228613099998,0.28608394394059994,2019-07-24 17:00:00,8597.3,0.01279847,109.74620218705938,8574.94702,0.0026,Kraken-BTC-EUR,buy,0.01279847,9502.9,finished,0.01279847,110.56598233,0.28747155405799996,2019-07-24 18:00:00,8639.0,0.01279847,110.853453884058,8661.4614,0.0026,109.74620218705938,-0.5336961990000191,-0.0048630038066406036,-1.1072516969986168,-0.010089202860171296,2019-07-24 17:00:00,2019-07-24 18:00:00,short,8597.3,8639.0,trailing-stop-loss
